epoch,loss,val_loss
0,0.031758397817611694,0.02938409522175789
1,0.0304421279579401,0.029386568814516068
2,0.030442239716649055,0.029384959489107132
3,0.030441779643297195,0.0293854009360075
4,0.03044234588742256,0.029383806511759758
5,0.030442044138908386,0.029385097324848175
6,0.030442122370004654,0.02938413992524147
7,0.030442090705037117,0.029386211186647415
8,0.030442429706454277,0.029386872425675392
9,0.03044183738529682,0.029385656118392944
10,0.030442917719483376,0.029389763250947
11,0.03044232167303562,0.029386360198259354
12,0.030442602932453156,0.0293861273676157
13,0.030441924929618835,0.02938663214445114
14,0.03044234588742256,0.02938685566186905
0,0.027289539575576782,0.025293102487921715
1,0.02526099979877472,0.024182695895433426
2,0.024022310972213745,0.022973285987973213
3,0.022808417677879333,0.021910492330789566
4,0.021879054605960846,0.02124064229428768
5,0.02112659625709057,0.02072283811867237
6,0.020634617656469345,0.020452002063393593
7,0.020307056605815887,0.02015799470245838
8,0.02003472112119198,0.020014917477965355
9,0.01982528157532215,0.019885562360286713
10,0.01960064098238945,0.019846929237246513
11,0.01939735747873783,0.01975162886083126
12,0.019231773912906647,0.019728949293494225
13,0.01903936080634594,0.020055940374732018
14,0.01891203783452511,0.01977446675300598
15,0.018748696893453598,0.019781306385993958
16,0.01859953999519348,0.019559776410460472
17,0.018472712486982346,0.019609063863754272
18,0.01831265166401863,0.01963038183748722
19,0.018181638792157173,0.01963466964662075
20,0.018096797168254852,0.019505053758621216
21,0.017922213301062584,0.019447751343250275
22,0.01769888401031494,0.019620709121227264
23,0.017583616077899933,0.019670335575938225
24,0.01736145280301571,0.019825363531708717
25,0.017297981306910515,0.020055845379829407
26,0.017105145379900932,0.019939931109547615
27,0.016955381259322166,0.02010912075638771
0,0.031722813844680786,0.02937949448823929
1,0.030486613512039185,0.029375430196523666
28,0.016723811626434326,0.02014881744980812
2,0.030486639589071274,0.029378263279795647
29,0.01657208241522312,0.020209819078445435
3,0.030486399307847023,0.029377611353993416
4,0.030486680567264557,0.029377097263932228
5,0.030486175790429115,0.02937629632651806
6,0.030486341565847397,0.02937784045934677
7,0.030486539006233215,0.029377980157732964
8,0.030486561357975006,0.029374614357948303
9,0.0304863378405571,0.029377056285738945
10,0.030486445873975754,0.029377397149801254
11,0.03048642724752426,0.02937806397676468
12,0.03048640862107277,0.029379574581980705
13,0.03048642724752426,0.029376320540905
14,0.030486436560750008,0.029376622289419174
15,0.03048642911016941,0.02937597967684269
16,0.03048652783036232,0.02937617339193821
17,0.03048698604106903,0.029377777129411697
18,0.030486559495329857,0.029376327991485596
0,0.02936854027211666,0.027668088674545288
